depth,thickness
605.9606689,0.525
607.7986689,1.838
608.7556689,0.957
609.0516689,0.296
609.4406689,0.389
610.3046689,0.864
610.7026689,0.398
611.1936689,0.491
612.1256689,0.932
613.0056689,0.88
613.3526689,0.347
615.0886689,1.736
615.4446689,0.356
616.1646689,0.72
617.0276689,0.863
617.6126689,0.585
618.5346689,0.922
619.8556689,1.321
620.4996689,0.644
620.8886689,0.389
621.5076689,0.619
622.2016689,0.694
622.7776689,0.576
623.4626689,0.685
623.9796689,0.517
624.5216689,0.542
624.8686689,0.347
625.3256689,0.457
625.5626689,0.237
626.3336689,0.771
626.8336689,0.5
627.6126689,0.779
629.5176689,1.905
630.2456689,0.728
633.1496689,2.904
633.4716689,0.322
634.3776689,0.906
634.7756689,0.398
635.2496689,0.474
635.7746689,0.525
636.4686689,0.694
637.5186689,1.05
638.2976689,0.779
638.8826689,0.585
639.4326689,0.55
639.9576689,0.525
640.2706689,0.313
641.0926689,0.822
641.5326689,0.44
642.0576689,0.525
643.1756689,1.118
643.4886689,0.313
644.6736689,1.185
645.3006689,0.627
645.7836689,0.483
646.4516689,0.668
647.0446689,0.593
647.5446689,0.5
648.4926689,0.948
649.3906689,0.898
649.7796689,0.389
651.2616689,1.482
651.5326689,0.271
651.8036689,0.271
652.4976689,0.694
653.3956689,0.898
653.6496689,0.254
654.4366689,0.787
655.1226689,0.686
656.2916689,1.169
656.9606689,0.669
657.3586689,0.398
658.2046689,0.846
659.3056689,1.101
660.0506689,0.745
660.4996689,0.449
661.0666689,0.567
661.3206689,0.254
661.6596689,0.339
661.9986689,0.339
662.6836689,0.685
663.1666689,0.483
663.6496689,0.483
664.0476689,0.398
664.4966689,0.449
664.9956689,0.499
665.4956689,0.5
665.8426689,0.347
666.2316689,0.389
666.8246689,0.593
667.3836689,0.559
667.8156689,0.432
668.3236689,0.508
669.3396689,1.016
669.7206689,0.381
670.0426689,0.322
670.2286689,0.186
670.6016689,0.373
671.1686689,0.567
671.6506689,0.482
672.1166689,0.466
672.3626689,0.246
672.5566689,0.194
672.7856689,0.229
673.0486689,0.263
673.4796689,0.431
673.9796689,0.5
674.6316689,0.652
675.3006689,0.669
675.5966689,0.296
676.2826689,0.686
676.8496689,0.567
677.6126689,0.763
677.8066689,0.194
678.7386689,0.932
679.4836689,0.745
679.6526689,0.169
679.8726689,0.22
680.2036689,0.331
680.5676689,0.364
680.9566689,0.389
721.2026689,40.246
721.7696689,0.567
722.0996689,0.33
722.4466689,0.347
722.9716689,0.525
723.6326689,0.661
724.2846689,0.652
724.8096689,0.525
725.0976689,0.288
725.3596689,0.262
725.5886689,0.229
725.9186689,0.33
726.4776689,0.559
728.0526689,1.575
728.3826689,0.33
728.8906689,0.508
729.6276689,0.737
730.0676689,0.44
730.5586689,0.491
730.9226689,0.364
731.3206689,0.398
732.1086689,0.788
732.9046689,0.796
733.4626689,0.558
734.6236689,1.161
735.1316689,0.508
735.8766689,0.745
736.2576689,0.381
736.9686689,0.711
737.3586689,0.39
738.0186689,0.66
738.7886689,0.77
739.3816689,0.593
740.9986689,1.617
741.3806689,0.382
742.0066689,0.626
742.5146689,0.508
743.2856689,0.771
743.9036689,0.618
744.9616689,1.058
747.24216,2.280491109
747.71616,0.474
748.40516,0.689
749.00416,0.599
749.43316,0.429
749.92916,0.496
750.47116,0.542
751.02416,0.553
751.67916,0.655
752.02916,0.35
752.56016,0.531
752.92116,0.361
753.12416,0.203
753.45216,0.328
755.02116,1.569
755.57416,0.553
761.45116,5.877
761.73316,0.282
761.92516,0.192
762.85116,0.926
763.12116,0.27
763.53416,0.413
763.88416,0.35
764.25616,0.372
764.66316,0.407
765.43616,0.773
765.76316,0.327
766.15816,0.395
766.56516,0.407
766.73416,0.169
767.12916,0.395
767.70516,0.576
768.23616,0.531
769.10516,0.869
769.57916,0.474
770.78716,1.208
771.18816,0.401
772.39616,1.208
772.89316,0.497
773.28816,0.395
774.43116,1.143
774.90516,0.474
775.68416,0.779
776.54216,0.858
777.33316,0.791
777.80716,0.474
779.02616,1.219
779.89816,0.872
780.33916,0.441
780.85816,0.519
781.29816,0.44
781.61416,0.316
782.14516,0.531
782.34816,0.203
783.08216,0.734
783.60716,0.525
785.17916,1.572
785.57416,0.395
785.89016,0.316
786.38716,0.497
788.10616,1.719
788.46716,0.361
788.74916,0.282
790.95116,2.202
791.41716,0.466
791.84616,0.429
792.21816,0.372
792.58016,0.362
793.11016,0.53
793.55116,0.441
793.95716,0.406
794.35816,0.401
794.84316,0.485
795.38516,0.542
795.82516,0.44
796.06216,0.237
796.43516,0.373
797.11216,0.677
797.53016,0.418
798.52416,0.994
798.91016,0.386
800.13016,1.22
800.43516,0.305
800.73916,0.304
801.20216,0.463
801.62616,0.424
802.03216,0.406
802.47216,0.44
803.04816,0.576
807.13216,4.084
807.53916,0.407
808.26116,0.722
808.86016,0.599
809.24316,0.383
809.78516,0.542
810.19216,0.407
810.97416,0.782
811.51616,0.542
811.68516,0.169
812.02416,0.339
812.55416,0.53
813.00616,0.452
817.92316,4.917
818.70216,0.779
818.90516,0.203
819.44716,0.542
819.75116,0.304
820.15816,0.407
820.48516,0.327
820.90316,0.418
821.33216,0.429
821.78616,0.454
822.15116,0.365
822.37116,0.22
822.70916,0.338
823.19216,0.483
823.32816,0.136
823.75916,0.431
824.13216,0.373
824.38616,0.254
825.40216,1.016
825.79216,0.39
826.16416,0.372
826.98516,0.821
827.36616,0.381
827.79816,0.432
828.16216,0.364
828.62016,0.458
829.03516,0.415
829.56016,0.525
830.11016,0.55
830.53316,0.423
830.75316,0.22
831.09216,0.339
831.76116,0.669
832.21016,0.449
832.55716,0.347
833.04016,0.483
833.73416,0.694
833.98016,0.246
834.39416,0.414
835.03816,0.644
835.16516,0.127
835.66516,0.5
836.04616,0.381
836.44416,0.398
836.79116,0.347
837.09616,0.305
837.84116,0.745
838.23916,0.398
839.30616,1.067
839.77116,0.465
841.38016,1.609
842.17616,0.796
842.79416,0.618
843.18416,0.39
843.63216,0.448
844.32716,0.695
845.00416,0.677
845.74116,0.737
848.99216,3.251
849.78016,0.788
